---------------------------------FissionSpectrum---------------------------------
1.0 0.0


------------------------------------Materials------------------------------------
matID       SigmaA      nuSigmaF    FixedSource     SigmaS  
---------------------------------------------------------------------------------
1           0.001       0.0         0.0             0.560 0.050       Moderator   
1           0.040       0.0         0.0             0.0   2.300
---------------------------------------------------------------------------------
2           0.015       0.0075      0.0             0.520 0.015       MOX 4.3%                          
2           0.2         0.300       0.0             0.0   0.90         
---------------------------------------------------------------------------------
3           0.01        0.005       0.0             0.540 0.020       UO2 fuel    
3           0.1         0.125       0.0             0.0   1.0        
---------------------------------------------------------------------------------
4           0.015       0.0075      0.0             0.520 0.015       MOX 7.0%
4           0.25        0.375       0.0             0.0   0.760   
---------------------------------------------------------------------------------
5           0.001       0.0         0.0             0.560 0.025       Guide Tube                  
5           0.02        0.0         0.0             0.0   1.2     
---------------------------------------------------------------------------------
6           0.015       0.0075      0.0             0.520 0.015       MOX 8.7%
6           0.300       0.450       0.0             0.0   0.760
---------------------------------------------------------------------------------
7           0.001       1e-7        0.0             0.560 0.025       Fission Chamber
7           0.02        3e-6        0.0             0.0   1.20                   
---------------------------------------------------------------------------------
